idn,dl_sm_cde,dn_sm_cde,dn_cm_cde,pie_no,ty_jl_cde,inx_no,me_og_cde,buse_cde,sat_mhe,end_mhe,en_mt_cde,mop_cde,re_om_cde,lay_ymd,lg_yo_cde,om_pe_dtr,hol_std,vel_std,pe_rw_num,lenx,spt_hsl,ept_hsl,st_pip_hit,et_pip_hit,spt_dep,ept_dep,are_dep,st_rt_rto,hh_fy_cde,chk_yno,mr_dl_cde,dr_en_yno,st_st_yno,dtr_cce,pe_nr_cce,dr_lx_cce,dr_lp_cce,yr_dx_cce,pw_hp_cce,dp_pe_cce,da_st_cde,nw_da_yno,ifw_riv,rmk,ue_st_year,cn_pl_year,cn_spot,rp_mt_cde,dg_gn_cde,cn_area,cn_cs_cde,sy_gn_cde,dv_gn_cde,mr_pl_cde,sv_yn_cde,gh_fc_chk,in_pi_cde,cn_nam,year
25-13602,T,SN,CH,9000-360,SB001,"377052305",SB25,"13",9000-360-00,9000-400-00,"001","030","024",2017/11/30,"0","0",3.30,2.80,"2",1.340,16.62,16.62,11.82,12.12,2.00,1.70,1.85,223.88,"999",,,,,2@□3.3X2.8,9000-360/2@□3.3X2.8,2@□3.3X2.8/L1.34,2@□3.3X2.8/L1.34/D2.00/D1.70,2017/2@□3.3X2.8/L1.34,2017/RCB/2@□3.3X2.8/L1.34/D11.82/D12.12/S223.88,2017/RCB/2@□3.3X2.8/L1.34/D2.00/D1.70,"71",N,,,"2017","1900","0",,,0.00,"2","02","01",,N,,"001",,"2017"
25-04739,T,SN,SN,0073-300,SB007,"377052345",SB25,"13",0073-300-1,0073-400-1,"001","012","001",2013/12/31,"0","600",0.00,0.00,"1",37.390,13.86,13.95,12.09,12.07,1.17,1.28,1.23,0.53,"999",,,,,Ø600,0073-300/Ø600,Ø600/L37.39,Ø600/L37.39/D1.17/D1.28,2013/Ø600/L37.39,2013/HP/Ø600/L37.39/D12.09/D12.07/S0.53,2013/HP/Ø600/L37.39/D1.17/D1.28,"71",N,,,"1982","2013","0","001","001",0.00,"2","02","01",B,N,,"999",성내배수분구 하수관로 종합정비 공사,"2013"
25-02146,T,SN,CH,0400-200,SB007,"377052316",SB25,"12",0400-200-1,0400-300-01,"001","012","001",1989/10/17,"0","600",0.00,0.00,"1",7.050,16.33,16.22,15.04,14.71,0.64,0.86,0.75,46.81,"999",,C,,,Ø600,0400-200/Ø600,Ø600/L7.05,Ø600/L7.05/D0.64/D0.86,1989/Ø600/L7.05,1989/HP/Ø600/L7.05/D15.04/D14.71/S46.81,1989/HP/Ø600/L7.05/D 0.64/D 0.86,"02",N,,,"1989","1900","0",,,0.00,"0","03","01",C,N,,"999",천호동 327번지 주변 하수도 개량공사,"1989"
25-11147,T,SN,KDT,0104-103,SB007,"377052339",SB25,"12",0104-103-01,0104-104-01,"001","012","001",1980/12/30,"0","600",0.00,0.00,"1",35.060,19.93,20.00,19.08,18.80,0.20,0.55,0.38,7.99,"999",,D,,,Ø600,0104-103/Ø600,Ø600/L35.06,Ø600/L35.06/D0.20/D0.55,1980/Ø600/L35.06,1980/HP/Ø600/L35.06/D19.08/D18.80/S7.99,1980/HP/Ø600/L35.06/D 0.20/D 0.55,"02",N,,,"1980","1900","0",,,0.00,"0","03","01",D,N,,"999",,"1980"
25-T0022,T,SN,AS,HGL5-012,SB024,"377051876",SB73,"90",HGL5-012-00,HGL5-013-00,"001","030","024",1900/01/01,"0","0",1.60,1.60,"1",100.620,11.70,12.76,8.38,8.36,1.72,2.80,2.26,0.20,"999",,,,,□1.6X1.6,HGL5-012/□1.6X1.6,□1.6X1.6/L100.62,□1.6X1.6/L100.62/D2.66/D3.00,1900/□1.6X1.6/L100.62,1900/□1.6X1.6/L100.62/D12.81/D13.10/S0.3,1900/□1.6X1.6L100.62/D2.83/D3.00,"81",N,HB00S0,한강좌안,"1900","1900","0","999","002",0.00,"0","02","01",,N,Y,"001",차집관거 성능개선 기본.실시설계 및 전산화 DB구축 용역(탄천2차),"1900"
25-01506,T,SN,CH,0241-401,SB007,"377052318",SB25,"12",0241-401-1,0241-402-1,"001","037","001",1980/12/31,"0","450",0.00,0.00,"1",25.390,23.95,23.90,22.35,22.27,1.10,1.13,1.12,3.15,"999",,D,,,Ø450,0241-401/Ø450,Ø450/L25.39,Ø450/L25.39/D1.10/D1.13,1980/Ø450/L25.39,1980/CP/Ø450/L25.39/D22.35/D22.27/S3.15,1980/CP/Ø450/L25.39/D 1.10/D 1.13,"40",N,,,"1980","1900","0",,,0.00,"0","05","01",D,Y,,"999",,"1980"
25-12101,T,SN,KDT,0167-400,SB007,"377052349",SB25,"12",0167-400-01,0168-100-1,"001","012","001",1980/12/30,"0","600",0.00,0.00,"1",11.060,23.31,22.74,21.58,21.39,1.08,0.70,0.89,17.18,"999",N,C,N,N,Ø600,0167-400/Ø600,Ø600/L11.06,Ø600/L11.06/D1.08/D0.70,1980/Ø600/L11.06,1980/HP/Ø600/L11.06/D23.31/D22.74/S17.18,1980/HP/Ø600/L11.06/D1.08/D0.7,"13",N,,,"1980","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1980"
25-09010,T,SN,GDG,0022-318,SB007,"377052340",SB25,"13",0022-318-1,0022-319-1,"001","012","001",1900/01/01,"0","450",0.00,0.00,"1",10.000,30.16,30.01,28.66,28.51,1.00,1.00,1.00,15.00,"999",N,C,N,N,Ø450,0022-318/Ø450,Ø450/L10,Ø450/L10/D1.00/D1.00,1900/Ø450/L10,1900/HP/Ø450/L10/D30.16/D30.01/S  15.00,1900/HP/Ø450/L10/D1/D1,"23",N,,,"2005","1900","0",,,0.00,"0","03","01",C,N,,"999",,"1900"
25-01833,T,SN,CH,0370-101,SB007,"377052315",SB25,"13",0370-101-1,0404-103-1,"001","012","001",1980/12/31,"0","450",0.00,0.00,"1",4.170,17.47,17.53,16.27,16.42,0.75,0.66,0.71,35.97,"999",,D,,,Ø450,0370-101/Ø450,Ø450/L4.17,Ø450/L4.17/D0.75/D0.66,1980/Ø450/L4.17,1980/HP/Ø450/L4.17/D16.27/D16.42/S35.97,1980/HP/Ø450/L4.17/D0.75/D0.66,"40",N,,,"1980","1900","0",,,0.00,"0","01","01",D,Y,,"999",,"1980"
25-01360,T,SN,CH,0324-304,SB007,"377052316",SB25,"13",0324-304-01,0324-305-1,"001","012","001",1900/01/01,"0","450",0.00,0.00,"1",9.720,18.86,18.62,17.52,17.89,0.89,0.28,0.59,38.07,"999",,B,,,Ø450,0324-304/Ø450,Ø450/L9.72,Ø450/L9.72/D0.89/D0.28,1900/Ø450/L9.72,1900/HP/Ø450/L9.72/D17.52/D17.89/S38.07,1900/HP/Ø450/L9.72/D0.89/D0.28,"12",N,,,"1900","1900","0",,,0.00,"0","99","01",B,N,,"999",,"1900"
