X,Y,GU_NM,HNR_NAM,MTC_AT,MASTERNO,SLAVENO,NEADRES_NM,TRE_SOM,THT_HG,RM,MGE_LVL,LC,EVMT_IFNE,PLT_DE,RPRUNG_CN,ROAD_LT,ETC,GU_NO,DONG_NM,ETRC_YNO,SN,RPLNT_CN,ITM_ERY,BHT_DM,RNK_LC_CN,WTRTB_BT,EXT_YNO,MGE_ORG,DME_ETT,CMFE_LU_ST,DSPRVN_CN,MGE_MTE,MNCXPN_CT,TRE_IDN,TFCLNE_CO,PTN_CVR,WIDTH_NM,VAL_LVL,RNK_BHT_HG,WDPT_NM,CREAT_DE,PO_FE_NM
127.1711425,37.55926863,강동구,,,,,,0,0,,0,,0,,,0,,25,,0,384,,0,0,0,0,0,푸른도시과,0,0,,0,,25-상일동길-가-0384(공분),0,1,상일동길,0,0,0,,
127.1309816,37.5596909,강동구,,,,,,6,8,,2,,0,,,0,,25,,2,0,,6,17,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0430,0,1,선사로,0,6,감나무,,
127.1308515,37.55943424,강동구,,,,,,6,8,,3,,0,,,0,,25,,2,0,,6,14,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0440,0,1,선사로,0,3,감나무,,
127.1307209,37.55915924,강동구,,,,,,6,6,,3,,0,,,0,,25,,2,0,,6,15,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0448,0,1,선사로,0,3,감나무,,
127.1308032,37.55933757,강동구,,,,,,6,6,,3,,0,,,0,,25,,2,0,,6,14,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0444,0,1,선사로,0,3,감나무,,
127.1305589,37.55875448,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,0,,6,12,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0456,0,1,선사로,0,3,감나무,,
127.1308305,37.55938924,강동구,,,,,,6,6,,3,,0,,,0,,25,,2,0,,6,18,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0443,0,1,선사로,0,3,감나무,,
127.13054,37.55870954,강동구,,,,,,8,8,,2,,0,,,0,,25,,2,0,,6,15,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0458,0,1,선사로,0,3,감나무,,
127.1308705,37.55947757,강동구,,,,,,6,8,,2,,0,,,0,,25,,2,0,,6,15,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0438,0,1,선사로,0,6,감나무,,
127.1309229,37.55957592,강동구,,,,,,6,6,,3,,0,,,0,,25,,2,0,,6,12,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0433,0,1,선사로,0,3,감나무,,
127.1307737,37.55928592,강동구,,,,,,6,8,,2,,0,,,0,,25,,2,0,,6,16,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0446,0,1,선사로,0,6,감나무,,
127.1308936,37.55952426,강동구,,,,,,6,6,,3,,0,,,0,,25,,2,437,,6,15,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0437,0,1,선사로,0,3,감나무,,
127.1309522,37.55963258,강동구,,,,,,6,8,,3,,0,,,0,,25,,2,432,,6,14,9,3,0,푸른도시과,2,0,0707응애,0,,25-선사로-가-0432,0,1,선사로,0,3,감나무,,
127.1642994,37.5602617,강동구,,,,,,8,8,,3,,0,,,0,,25,,2,0,,6,13,6,4,0,푸른도시과,2,0,"0727흰불,방패",0,,25-샘터길-가-0022,0,1,샘터길,0,3,꽃사과,,
127.1369056,37.56687739,강동구,,,,,,8,3,,2,올림픽대로,0,,,0,,25,,2,1169,,6,8,12,2,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1169,0,1,올림픽대로,0,3,느티나무,,
127.1679066,37.55698775,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,60,,6,13,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-0060,0,1,고덕동길,0,3,느티나무,,
127.1263479,37.5583468,강동구,,,,,,8,7,,2,올림픽대로,0,,,0,,25,,2,0,,6,18,9,3,0,푸른도시과,2,0,"0728흰불,방패",0,,25-올림픽대로-가-0902,0,1,올림픽대로,0,3,느티나무,,
127.1544138,37.55514952,강동구,,,,,,4,8,,2,,0,,,0,,25,,2,0,,6,18,6,4,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-0349,0,1,고덕동길,0,6,느티나무,,
127.1677466,37.55701437,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,65,,6,10,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-0065,0,1,고덕동길,0,3,느티나무,,
127.1640887,37.55650774,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,144,,6,11,9,3,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-0144,0,1,고덕동길,0,3,느티나무,,
127.138301,37.55040811,강동구,,,,,,4,10,,2,,0,,,0,,25,,1,111,,6,10,6,4,0,푸른도시과,2,0,0720흰불,0,,25-구천면길-가-0111,0,1,구천면길,0,3,느티나무,,
127.154321,37.55518614,강동구,,,,,,4,7,,2,,0,,,0,,25,,2,0,,6,9,6,4,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-0352,0,1,고덕동길,0,6,느티나무,,
127.1663462,37.55680121,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,102,,6,10,9,3,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-0102,0,1,고덕동길,0,3,느티나무,,
127.1311318,37.5634105,강동구,,,,,,8,3,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,2,0,푸른도시과,2,0,"0728흰불,방패",0,,25-올림픽대로-가-0804,0,1,올림픽대로,0,3,느티나무,,
127.1559908,37.55541828,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,0,,6,10,9,4,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-0312,0,1,고덕동길,0,3,느티나무,,
127.1371183,37.52939528,강동구,,,,,,8,4,,2,,0,,,0,,25,,2,0,,6,17,12,5,0,푸른도시과,2,0,"0730흰불,방패",0,,25-둔촌로-가-0150,0,1,둔촌로,0,3,느티나무,,
127.1655758,37.55653748,강동구,,,,,,4,8,,2,,0,,,0,,25,,2,1253,,6,13,6,4,0,푸른도시과,2,0,0806흰불,0,,25-고덕동길-가-1253,0,1,고덕동길,0,9,느티나무,,
127.1247193,37.556084,강동구,,,,,,8,7,,2,올림픽대로,0,,,0,,25,,2,0,,6,18,9,4,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1038,0,1,올림픽대로,0,3,느티나무,,
127.1265191,37.55858856,강동구,,,,,,8,7,,2,올림픽대로,0,,,0,,25,,2,896,,6,18,9,3,0,푸른도시과,2,0,"0728흰불,방패",0,,25-올림픽대로-가-0896,0,1,올림픽대로,0,3,느티나무,,
127.146803,37.56655594,강동구,,,,,,8,4,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,3,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1175,0,1,올림픽대로,0,3,느티나무,,
127.1464684,37.52332317,강동구,,,,,,8,5,,2,,0,,,0,,25,,2,0,,6,16,12,3,0,푸른도시과,2,0,0712응애,0,,25-방아다리길-가-1363,0,1,방아다리길,0,3,느티나무,,
127.1302096,37.53678948,강동구,,,,,,8,4,,2,,0,,,0,,25,,2,0,,6,16,12,3,0,푸른도시과,2,0,,0,,25-천호대로-가-0439,0,1,천호대로,0,3,느티나무,,
127.1483428,37.56655312,강동구,,,,,,8,4,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,3,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1215,0,1,올림픽대로,0,3,느티나무,,
127.1595516,37.55591606,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,0,,6,9,9,3,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-0256,0,1,고덕동길,0,3,느티나무,,
127.1247926,37.55537962,강동구,,,,,,8,7,,2,올림픽대로,0,,,0,,25,,2,956,,6,18,9,4,0,푸른도시과,2,0,,0,,25-올림픽대로-가-0956,0,1,올림픽대로,0,3,느티나무,,
127.1434841,37.55079601,강동구,,,,,,8,10,,3,,0,,,0,,25,,1,0,,6,11,6,4,0,푸른도시과,2,0,,0,,25-구천면길-가-0094,0,1,구천면길,0,3,느티나무,,
127.163757,37.55650601,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,155,,6,10,9,3,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-0155,0,1,고덕동길,0,3,느티나무,,
127.1301656,37.53640306,강동구,,,,,,8,3,,2,,0,,,0,,25,,2,0,,6,12,12,4,0,푸른도시과,2,0,,0,,25-천호대로-가-0558,0,1,천호대로,0,3,느티나무,,
127.148313,37.5665487,강동구,,,,,,8,4,,2,올림픽대로,0,,,0,,25,,2,0,,6,8,12,3,0,푸른도시과,2,0,,0,,25-올림픽대로-가-1214,0,1,올림픽대로,0,3,느티나무,,
127.1375729,37.53064081,강동구,,,,,,8,5,,2,,0,,,0,,25,,2,0,,6,13,12,4,0,푸른도시과,2,0,"0730흰불,방패",0,,25-둔촌로-가-0170,0,1,둔촌로,0,3,느티나무,,
127.1634717,37.55642054,강동구,,,,,,8,7,,2,,0,,,0,,25,,2,0,,6,14,9,3,0,푸른도시과,2,0,0817흰불,0,,25-고덕동길-가-0164,0,1,고덕동길,0,3,느티나무,,
127.1292329,37.53668888,강동구,,,,,,8,4,,2,,0,,,0,,25,,2,0,,6,11,12,3,0,푸른도시과,2,0,,0,,25-천호대로-가-0548,0,1,천호대로,0,3,느티나무,,
