X,Y,시추공코드,고도,시추심도,지하수위,시추방법,시추공종류,X좌표,Y좌표
127.1564362,37.56998652,K194BH015,60.4,10.3,0,회전수세식,Boring,213820.0256,552283.2696
127.1576397,37.5705072,K194BH016,51.92,10.4,-5.4,회전수세식,Boring,213926.2468,552341.2369
127.1596816,37.55608388,K194BH021,27.89,12,0,회전수세식,Boring,214109.3534,550740.7207
127.156574,37.56630874,K194BH009,53.33,12.8,0,회전수세식,Boring,213832.8742,551875.0991
127.1494035,37.56136152,K194BH012,50.87,10,-8.4,회전수세식,Boring,213200.2522,551324.9843
127.1535098,37.56938776,K194BH014,33.37,6,-1.2,회전수세식,Boring,213561.6078,552216.388
127.1557925,37.55802826,K194BH054,36.07,10.5,-3.9,회전수세식,Boring,213765.3617,550955.9474
127.1571815,37.56525043,K194BH026,14.46,10.5,-1.6,회전수세식,Boring,213886.7417,551757.7279
127.1535703,37.56247267,K194BH028,45.7,10.5,0,회전수세식,Boring,213568.2052,551448.9022
127.1532925,37.56191717,K194BH030,38.39,10.3,0,회전수세식,Boring,213543.7594,551387.2073
127.1541258,37.56163935,K194BH031,23.16,10.5,-0.8,회전수세식,Boring,213617.4383,551356.4938
127.1541258,37.56219488,K194BH032,28.79,10.5,-1.1,회전수세식,Boring,213617.3373,551418.1503
127.1541259,37.5630282,K194BH033,36.39,10.5,-7.9,회전수세식,Boring,213617.1888,551510.6395
127.1555148,37.56358381,K194BH036,44.05,10.5,0,회전수세식,Boring,213739.7988,551572.508
127.1557926,37.56302829,K194BH037,43.51,10.5,0,회전수세식,Boring,213764.4426,551510.8919
127.1494152,37.56418957,K194BH006,36.76,10.5,-8.6,회전수세식,Boring,213200.7871,551638.8657
127.1560703,37.55830606,K194BH052,46.29,10.5,-8.9,회전수세식,Boring,213789.854,550986.8206
127.1571814,37.56497271,K194BH039,32.35,10.5,0,회전수세식,Boring,213886.7922,551726.9052
127.1569037,37.56247266,K194BH040,17.4,10.5,-0.7,회전수세식,Boring,213862.7139,551449.387
127.1560703,37.56136154,K194BH041,27.89,10.5,-8.5,회전수세식,Boring,213789.2885,551325.9438
127.1566259,37.5602505,K194BH043,36.62,10.5,-7.6,회전수세식,Boring,213838.5851,551202.7126
127.1549593,37.55941719,K194BH044,37.76,10.5,-6.2,회전수세식,Boring,213691.4808,551109.981
127.1566259,37.55941718,K194BH046,20.83,10.5,-0.8,회전수세식,Boring,213838.7366,551110.2234
127.1541258,37.55913939,K194BH047,33.85,10.5,-3.2,회전수세식,Boring,213617.8928,551079.027
127.1546815,37.55886158,K194BH048,42.82,10.5,-6.8,회전수세식,Boring,213667.039,551048.2741
127.156626,37.55830605,K194BH050,36.67,10.5,0,회전수세식,Boring,213838.9496,550986.9014
127.1557926,37.55830606,K194BH051,44.55,10.5,0,회전수세식,Boring,213765.3112,550986.7802
127.1494035,37.55830604,K194BH002,28.17,10.5,-0.7,회전수세식,Boring,213200.7977,550985.861
127.1532943,37.56132739,K194BH003,25.75,10.5,-0.6,회전수세식,Boring,213544.0305,551321.7499
127.1484567,37.5612671,K194BH004,32.69,10.5,-1.3,회전수세식,Boring,213116.623,551314.372
127.1494035,37.56136152,K194TP003,50.75,1.8,0,회전수세식,Boring_Ex,213200.2522,551324.9843
127.1564362,37.56998652,K194TP004,60.68,1.8,0,회전수세식,Boring_Ex,213820.0256,552283.2696
127.1549592,37.56247268,K194TP005,54.59,2,0,회전수세식,Boring_Ex,213690.9152,551449.1042
127.1544036,37.56441713,K194TP006,43.69,2,0,회전수세식,Boring_Ex,213641.4761,551664.8347
127.1557926,37.55830606,K194TP009,38.56,1.7,0,회전수세식,Boring_Ex,213765.3112,550986.7802
127.1560703,37.55830606,K194TP010,51.91,1.6,0,회전수세식,Boring_Ex,213789.854,550986.8206
127.1563482,37.55802825,K194BH055,31.74,10.5,-3.4,회전수세식,Boring,213814.4573,550956.0282
127.1570116,37.56703976,K194TP002,58.58,1.7,0,회전수세식,Boring_Ex,213871.4065,551956.2981
127.1563482,37.55830605,K194BH057,45.7,26,0,회전수세식,Boring,213814.4068,550986.861
127.147459,37.56330596,K194BH058,45.28,9.8,-7.2,회전수세식,Boring,213028.115,551540.5227
127.1532925,37.56386152,K194BH060,57.4,17,-15.2,회전수세식,Boring,213543.4059,551603.0076
127.151348,37.55886162,K194BH061,48.49,12.7,-9.8,회전수세식,Boring,213372.5063,551047.7993
127.1557926,37.56302829,K194TP007,43.6,1.6,0,회전수세식,Boring_Ex,213764.4426,551510.8919
127.1557868,37.5602516,K194TP008,36.03,1.6,0,회전수세식,Boring_Ex,213764.4477,551202.7114
127.1532943,37.56132739,K194TP001,41.12,2,0,회전수세식,Boring_Ex,213544.0305,551321.7499
127.1710942,37.57660636,B0645BB033,20.7,27,-12.2,회전수세식,Boring,215113.6173,553020.2528
127.1714162,37.57631011,B0645BB034,20.3,27,-14,회전수세식,Boring,215142.1166,552987.4245
127.1403977,37.5419284,B1934BH001,0,20,-10,회전수세식,boring,212407.7906,549166.9127
127.1406409,37.54193553,B1934BH002,0,19,-10.4,회전수세식,boring,212429.2834,549167.7351
127.1405644,37.54173777,B1934BH003,0,20.1,-10.6,회전수세식,boring,212422.5508,549145.7771
127.1352662,37.5447733,B1902BH006,36.06,22,-7,회전수세식,boring,211953.8331,549481.9968
127.1350417,37.54455534,B1902BH007,36,20,-7.2,회전수세식,boring,211934.0286,549457.7777
127.1347897,37.54464368,B1902BH008,35.89,14,-8,회전수세식,boring,211911.7407,549467.5503
127.1343868,37.54465389,B1902BH009,36.09,10,-2,회전수세식,boring,211876.1379,549468.6327
127.1340486,37.54469583,B1902BH010,35.79,11,-6.6,회전수세식,boring,211846.2411,549473.2451
127.1338424,37.54457619,B1902BH011,35.62,9,-4.8,회전수세식,boring,211828.0344,549459.94
127.1341874,37.54493053,B1902BH012,36.64,16,-6.7,회전수세식,boring,211858.4656,549499.3111
127.1343594,37.54507528,B1902BH013,35.96,12,-3,회전수세식,boring,211873.6482,549515.3982
127.1299533,37.55639896,B1806BH001,117.5,28,-8.8,기타,boring,211482.5299,550771.6448
127.1294884,37.55578667,B1806BH002,117,31.5,-8.6,기타,boring,211441.5523,550703.6307
127.1294415,37.55498465,B1806BH003,116.09,35,-5.8,기타,boring,211437.5288,550614.6103
127.1288383,37.55402065,B1806BH004,115.69,30.5,-6.19,기타,boring,211384.377,550507.5443
127.1288708,37.55336169,B1806BH005,116,15.5,-6.4,기타,boring,211387.3481,550434.412
127.1283944,37.55274973,B1806BH006,116.5,24.2,-7.19,기타,boring,211345.3406,550366.4338
127.1278374,37.55123731,B1806BH007,116.09,24,-6.8,기타,boring,211296.3537,550198.5064
127.1608849,37.55710791,B1396BH003,26.01,7.3,-3.2,기타,boring,214215.4817,550854.5576
127.1612477,37.55730613,B1396BH004,23.87,5.5,-0.6,기타,boring,214247.5001,550876.6129
127.1617231,37.5572968,B1396BH005,23.08,5.1,-0.5,기타,boring,214289.5098,550875.6496
127.1622098,37.55726942,B1396BH006,25.93,15.12,-3.79,기타,boring,214332.5185,550872.6843
127.1626967,37.55731421,B1396BH007,23.45,13.25,-3.59,기타,boring,214375.5311,550877.73
127.1629798,37.55732304,B1396BH008,24,13.25,-3.59,기타,boring,214400.5379,550878.7534
127.1633653,37.55731266,B1396BH009,23.58,15.25,-3.7,기타,boring,214434.6036,550877.6609
127.163319,37.55705152,B1396BH010,23.65,15.35,-3.9,기타,boring,214430.5641,550848.6701
127.1628319,37.55707052,B1396BH011,23.9,13.3,-3.79,기타,boring,214387.5204,550850.7044
127.1392491,37.55753991,B1891BH001,20.05,18,-0.8,회전수세식,boring,212303.7153,550899.4521
127.1579143,37.56309601,B1891BH002,18.82,16,-8.3,회전수세식,boring,213951.888,551518.7209
127.1725327,37.56319879,B1891BH003,20.34,13.4,-9.8,회전수세식,boring,215243.4215,551532.3988
127.138479,37.5635004,B1672BH006,48.5,13,-3.2,기타,boring,212234.6941,551560.8967
127.1393503,37.56385129,B1672BH007,34.5,4,-0.4,기타,boring,212311.6128,551599.9546
127.1390554,37.56426623,B1672BH008,26.7,6.7,-0.2,기타,boring,212285.4953,551645.9698
127.1395527,37.56450024,B1672BH009,30.5,12.5,-3.2,기타,boring,212329.3945,551672.0073
127.139395,37.56499689,B1672BH010,21.7,12.5,-2.2,기타,boring,212315.3787,551727.1086
127.1390589,37.53500424,B1621BH001,118.5,25,-5.19,기타,boring,212290.61,548398.239
127.1386155,37.5341677,B1621BH002,118.9,25.5,-4.9,기타,boring,212251.5508,548305.3351
127.1385232,37.53344788,B1621BH003,119.59,25,-6.3,기타,boring,212243.5162,548225.4316
127.1375886,37.53083442,B1621BH004,120.59,28,-5.9,기타,boring,212161.3275,547935.2486
127.1367918,37.52867237,B1621BH005,117.93,24.2,-3.59,기타,boring,212091.251,547695.1854
127.1361333,37.52696078,B1621BH006,118.2,23.5,-5.69,기타,boring,212033.3225,547505.135
127.1359176,37.52637521,B1621BH007,118.25,23.5,-5.59,기타,boring,212014.3468,547440.1172
127.1351727,37.52453986,B1621BH008,117.68,22.5,-6.69,기타,boring,211948.7976,547236.3208
127.1347643,37.52346966,B1621BH009,118.44,22.5,-4.8,기타,boring,211912.8688,547117.4901
127.134068,37.52180252,B1621BH010,117.22,21,-4.3,기타,boring,211851.5763,546932.3706
127.1401013,37.54357064,B1933BH001,20.5,18.5,-7.5,회전수세식,Boring,212381.3198,549349.1418
127.1431777,37.5296319,B1735BH001,9.92,25,-5,기타,boring,212655.5508,547802.5207
127.1435059,37.52964048,B1735BH002,9.98,23,-5,기타,boring,212684.5555,547803.5172
127.1437662,37.5296491,B1735BH003,9.8,22.5,-5.5,기타,boring,212707.5643,547804.5095
127.1628212,37.57108062,B1766BH256,117.54,17,-9.6,기타,boring,214383.8831,552405.6608
127.1215906,37.54407194,B1673BH001,12.8,20,-3.2,기타,boring,210745.381,549402.5038
127.1695893,37.55204989,B1450BH017,28.32,10.5,-7.8,기타,boring,214985.6037,550294.5296
127.1701867,37.55131069,B1450BH018,36.61,10.5,-7.59,기타,boring,215038.5386,550212.5821
127.1683866,37.55085218,B1450BH019,37.75,10.5,-6.19,기타,boring,214879.5577,550161.4069
127.1695626,37.55068932,B1450BH020,34.72,10.5,-7.09,기타,boring,214983.5142,550143.5178
127.1715785,37.55081361,B1450BH021,20.82,10.5,-0.8,기타,boring,215161.6275,550157.6356
127.1674371,37.5504058,B1450BH022,33.84,10.5,-3.2,기타,boring,214795.7492,550111.714
127.1683533,37.54988316,B1450BH023,42.81,10.5,-6.8,기타,boring,214876.8155,550053.8517
127.1702457,37.54996179,B1450BH024,25.02,10.4,-0.8,기타,boring,215044.024,550062.8794
127.1719165,37.5485901,B1450BH025,36.66,10.5,0,기타,boring,215191.9423,549910.907
127.1221624,37.53435449,B1806BH027,116.4,20,-7.3,기타,boring,210797.3151,548324.0504
127.1538405,37.5375751,B1899BH009,56.4,16.5,-13.7,회전수세식,boring,213596.6019,548685.6079
127.1538591,37.53839506,B1899BH010,46.79,15,-8.2,회전수세식,boring,213598.0934,548776.6152
127.1391365,37.5335843,B1899BH011,19.5,10.5,-2.1,회전수세식,boring,212297.6945,548240.6524
127.1454094,37.53496559,B1899BH012,23.4,10.5,-2.1,회전수세식,boring,212851.8946,548394.7981
127.149567,37.53674293,B1899BH013,30,18,-3.1,회전수세식,boring,213219.0454,548592.6375
127.1526457,37.53808511,B1899BH014,35.9,5.5,-1.6,회전수세식,boring,213490.9059,548742.0397
127.1544048,37.54256057,B1899BH015,44.2,11,-1.5,회전수세식,boring,213645.5615,549239.0163
127.1561236,37.54604107,B1899BH016,29.6,10.5,-1.4,회전수세식,boring,213796.8251,549625.5606
127.1316748,37.52486309,B1900BH001,0,8,-4.8,회전수세식,boring,211639.5465,547271.7565
127.1316048,37.52471152,B1900BH002,0,8,-3.3,회전수세식,boring,211633.3818,547254.9255
127.131527,37.524544,B1900BH003,0,10,-5.2,회전수세식,boring,211626.5242,547236.3235
127.1482404,37.53431253,B1901BH002,0,20.5,-4.8,회전수세식,boring,213102.2278,548322.7068
127.1481123,37.53395739,B1901BH003,0.2,23.5,-4.8,회전수세식,boring,213090.9695,548283.2729
127.1479796,37.53362752,B1901BH004,0.1,25,-4.7,회전수세식,boring,213079.2932,548246.643
127.1478375,37.53338163,B1901BH005,0.2,25,-5.5,회전수세식,boring,213066.7777,548219.332
127.1667379,37.54730799,B1450BH026,44.54,10.5,0,기타,boring,214734.5693,549767.7837
127.1689929,37.54781918,B1450BH027,46.29,10.5,-8.89,기타,boring,214933.7418,549824.8755
127.1714477,37.54740963,B1450BH028,37.11,5.2,-4.19,기타,boring,215150.7518,549779.8134
127.1217656,37.53329204,B1806BH028,116.4,17,-5.5,기타,boring,210762.3943,548206.0857
127.144822,37.51712218,B1907BH004,32.6,9.5,0,회전수세식,boring,212803.0261,546414.3202
127.143783,37.51769432,B1907BH005,26.2,10,0,회전수세식,boring,212711.0828,546477.6792
127.1438222,37.51745099,B1907BH006,24.7,6,0,회전수세식,boring,212714.5872,546450.6785
127.1439498,37.51790215,B1907BH007,25.9,6.5,0,회전수세식,boring,212725.7853,546500.7683
127.1451111,37.54987127,B1908BH001,0,12.5,-2.7,회전수세식,boring,212822.9799,550049.1074
127.1453267,37.54985047,B1908BH002,0,14,-3.2,회전수세식,boring,212842.0308,550046.8287
127.1448113,37.54678164,B1909BH001,0,14.5,-3.6,회전수세식,boring,212797.0117,549706.1547
127.1444709,37.54711019,B1909BH002,0,9.5,-4.5,회전수세식,boring,212766.8744,549742.5739
127.1441018,37.54681309,B1909BH003,0,13,-7.3,회전수세식,boring,212734.3062,549709.5497
127.1287156,37.5244745,B1910BH001,0,19.5,-4.2,회전수세식,boring,211378.0193,547228.2656
127.1276216,37.55062562,B1806BH008,116.19,24,-7.8,기타,boring,211277.372,550130.5896
127.1276093,37.54991415,B1806BH009,116.4,21,-6,기타,boring,211276.3962,550051.6232
127.1270655,37.5491667,B1806BH010,116.69,23,-7,기타,boring,211228.454,549968.6011
127.1270421,37.54824781,B1806BH011,117.19,25,-7.3,기타,boring,211226.5206,549866.6119
127.1264948,37.54740887,B1806BH012,117.5,24,-6.3,기타,boring,211178.2865,549773.4349
127.1263458,37.54639188,B1806BH013,117.9,18.2,-5.69,기타,boring,211165.2695,549660.5426
127.1258482,37.54568928,B1806BH014,117.5,23,-6.3,기타,boring,211121.3981,549582.5035
127.1258367,37.54490506,B1806BH015,116.8,25,-7.59,기타,boring,211120.5025,549495.4632
127.1251312,37.54367254,B1806BH016,116.5,25,-6.69,기타,boring,211058.3402,549358.5853
127.1251297,37.54293254,B1806BH017,116.59,23,-5.8,기타,boring,211058.3126,549276.4549
127.1246763,37.54240125,B1806BH018,116.9,24.6,-6.5,기타,boring,211018.3238,549217.4348
127.1245844,37.54143683,B1806BH019,117.9,26,-7.59,기타,boring,211010.3416,549110.3845
127.1238804,37.53997601,B1806BH020,117.8,27.8,-6.19,기타,boring,210948.3358,548948.1688
127.123813,37.53942672,B1806BH021,117.4,29.5,-6,기타,boring,210942.4618,548887.1972
127.1234505,37.53911183,B1806BH022,117.3,25,-6.69,기타,boring,210910.4696,548852.2059
127.1234486,37.53792297,B1806BH023,116.9,33,-7.3,기타,boring,210910.4728,548720.256
127.1621864,37.55698072,B1396BH012,25.95,11.45,-3.79,기타,boring,214330.502,550840.6385
127.1617336,37.55700809,B1396BH013,23.11,7.3,0,기타,boring,214290.4943,550843.6069
127.1591743,37.55656122,B1396BH014,31.37,9.3,-4.19,기타,boring,214064.4379,550793.6236
127.1595478,37.55655159,B1396BH015,30.96,11.15,-4.69,기타,boring,214097.4417,550792.6111
127.1598763,37.55665014,B1396BH016,30.83,9.1,-4.3,기타,boring,214126.4503,550803.5985
127.1602611,37.55663149,B1396BH017,27.73,9.15,-4,기타,boring,214160.454,550801.5861
127.1607368,37.55676583,B1396BH018,25.45,5.35,-4.59,기타,boring,214202.4654,550816.5686
127.1611669,37.55675611,B1396BH019,24.82,7.25,-0.6,기타,boring,214240.4702,550815.5543
127.1616535,37.55670138,B1396BH020,26.85,9.1,-4,기타,boring,214283.4759,550809.554
127.1621741,37.55664691,B1396BH021,26.4,12.13,-3.9,기타,boring,214329.4836,550803.5878
127.1628199,37.5568179,B1396BH022,24,15.27,-3.79,기타,boring,214386.5069,550822.6646
127.1633181,37.55679014,B1396BH023,24.13,15.25,-3.9,기타,boring,214430.5366,550819.6593
127.1632945,37.55651985,B1396BH024,24.27,1.45,0,기타,boring,214428.5021,550789.6575
127.1629322,37.55652912,B1396BH025,24.48,13.4,-2.9,기타,boring,214396.4933,550790.63
127.1626379,37.55651127,B1396BH026,27.16,13.28,-3.79,기타,boring,214370.4866,550788.6046
127.1620263,37.55641243,B1396BH027,27.05,11.25,-2.5,기타,boring,214316.4682,550777.5408
127.161698,37.55638588,B1396BH028,27.04,10.8,-2.29,기타,boring,214287.4615,550774.5444
127.1475298,37.5612983,B1891BH007,59.26,15,-6.7,회전수세식,boring,213034.7196,551317.7056
127.1594682,37.56309177,B1891BH008,39.51,17,0,회전수세식,boring,214089.1759,551518.4822
127.1646318,37.56278576,B1891BH009,44.21,21,-8.3,회전수세식,boring,214545.4488,551485.3059
