시추공코드 ,순번 ,시작심도 ,종료심도 ,전단파속도(P파) ,전단파속도(S파) ,포아송비 ,전단판성계수 ,영률 ,현장밀도 
B3887BH001,28,26,27,1590,770,0.347,13900,40700,2.3
B3887BH001,29,15,16,1124,495,0.38,5000,19100,2
B3887BH001,27,14,15,1085,474,0.382,4100,16000,1.8
B3887BH001,26,27,28,1643,793,0.348,14800,43800,2.3
B3887BH001,25,13,14,1068,465,0.383,4000,15800,1.8
B3887BH001,24,28,29,1666,810,0.345,15400,44600,2.3
B3887BH001,23,10,11,984,418,0.39,3200,13500,1.8
B3887BH001,22,9,10,930,390,0.393,2800,12200,1.8
B3887BH001,21,8,9,890,372,0.394,2500,11000,1.8
B3887BH001,20,7,8,860,357,0.396,2300,10200,1.8
B3887BH001,19,6,7,823,340,0.397,2100,9600,1.8
B3887BH001,18,5,6,805,329,0.4,2000,9300,1.8
B3887BH001,17,4,5,782,318,0.401,1900,8900,1.8
B3887BH001,30,25,26,1567,754,0.349,13300,39700,2.3
B3887BH001,31,16,17,1197,529,0.379,5700,21600,2
B3887BH001,32,24,25,1523,737,0.347,12700,37300,2.3
B3887BH001,33,23,24,1492,713,0.352,11900,36300,2.3
B3887BH001,34,17,18,1235,546,0.379,6100,23100,2
B3887BH001,35,22,23,1439,681,0.356,10900,34200,2.3
B3887BH001,36,21,22,1420,669,0.357,10500,33300,2.3
B3887BH001,37,18,19,1279,570,0.379,6600,24500,2
B3887BH001,38,20,21,1378,623,0.372,7900,28200,2
B3887BH001,39,19,20,1310,588,0.374,7100,25800,2
B3887BH001,40,29,30,1693,825,0.344,16000,46000,2.3
B3887BH001,11,0,1,668,237,0.433,1000,7200,1.7
B3887BH001,12,1,2,691,258,0.419,1200,7000,1.8
B3887BH001,13,12,13,1049,453,0.385,3800,15300,1.8
B3887BH001,14,2,3,712,277,0.411,1400,7500,1.8
B3887BH001,15,11,12,1025,437,0.389,3500,14600,1.8
B3887BH001,16,3,4,734,294,0.404,1600,7800,1.8
B3913BH001,5,17,24.5,1174,585,0.335,7380,19700,2.1
B3913BH001,4,6.8,17,923,433,0.359,3640,9900,1.9
B3913BH001,3,3.5,6.8,626,272,0.384,1390,3850,1.8
B3913BH001,2,1.5,3.5,468,196,0.393,709,1980,1.8
B3913BH001,1,0,1.5,450,187,0.396,640,1790,1.8
B3913BH002,6,7,21,2750,1479,0.297,55900,145000,2.5
B3913BH002,4,3.6,5,868,401,0.364,3120,8520,1.9
B3913BH002,3,1.9,3.6,789,357,0.372,2340,6420,1.8
B3913BH002,2,0.7,1.9,575,248,0.386,1130,3130,1.8
B3913BH002,1,0,0.7,462,192,0.395,680,1900,1.8
B3913BH001,6,24.5,30.5,1455,744,0.323,13100,34600,2.3
B3913BH002,5,5,7,1619,835,0.32,16900,44500,2.3
B3916BH013,2,4,11,800,251,0.445,1130,2950,1.8
B3916BH013,3,11,19,1250,343,0.459,2230,5810,2
B3916BH013,4,19,21,1400,406,0.454,3050,7930,1.9
B3916BH013,5,21,23,2200,593,0.424,6670,17400,2.1
B3916BH013,6,23,29,2600,1120,0.386,29400,81400,2.4
B3916BH013,1,0,4,500,192,0.405,661,1730,1.8
B3925BH010,1,0,5.1,215,486,0.38,80500,222000,1.7
B3925BH010,3,45,46,599,1212,0.34,769000,2060000,2.1
B3925BH010,2,5.1,45,289,648,0.38,172000,471000,1.9
B3936BH002,1,0,0.7,492,201,0.4,701,1960,1.7
B3936BH002,3,8.2,9,1065,512,0.35,5080,1370,1.9
B3936BH002,4,9,30,1322,646,0.34,8970,2410,2.1
B3936BH002,2,0.7,8.2,611,252,0.4,1160,3250,1.8
B3979CB001,1,1,2,2,2,2,2,2,2
