시료코드 ,시험코드 ,시험종류 ,시험제어방식 ,내부마찰각 ,점착력 
A001BB017DS07,A001BB017DS07UU,UU,Strain,0,0.26
A001BB022DS08,A001BB022DS08UU,UU,Strain,0,1.1
A001BB023DS09,A001BB023DS09UU,UU,Strain,0,0
A001BB026DS10,A001BB026DS10UU,UU,Strain,0,0.2
A001BH037DS01,A001BH037DS01UU,UU,Strain,0,0.08
A001SB042DS02,A001SB042DS02UU,UU,Strain,0,0.17
A001SB048DS03,A001SB048DS03UU,UU,Strain,0,0.18
A001SB054DS04,A001SB054DS04UU,UU,Strain,0,0.1
A001SB055DS05,A001SB055DS05UU,UU,Strain,0,0.16
A003BB070DS03,A003BB070DS03UU,UU,Strain,47,120
A003TB005DS02,A003TB005DS02UU,UU,Strain,54,90
A003TB006DS01,A003TB006DS01UU,UU,Strain,53,330
A003TB115DS01,A003TB115DS01UU,UU,Strain,51,310
A005BH011DS32,A005BH011DS32UU,UU,Strain,0,0.48
A005BH012DS22,A005BH012DS22UU,UU,Strain,0,0.53
A005BH015DS19,A005BH015DS19UU,UU,Strain,0,0.42
A005BH038DS27,A005BH038DS27UU,UU,Strain,0,0
A009CB043DS02,A009CB043DS02UU,UU,Strain,45,21
A009CB043DS03,A009CB043DS03UU,UU,Strain,45,21
A009CB043DS05,A009CB043DS05UU,UU,Strain,45,21
A009CB043DS06,A009CB043DS06UU,UU,Strain,0,0
A009CB043DS07,A009CB043DS07UU,UU,Strain,28,0.36
A009CB044DS03,A009CB044DS03UU,UU,Strain,0,0
A009CB044DS04,A009CB044DS04UU,UU,Strain,26,0.28
A009CB045DS03,A009CB045DS03UU,UU,Strain,50,35
A009CB045DS04,A009CB045DS04UU,UU,Strain,50,35
A009CB045DS05,A009CB045DS05UU,UU,Strain,0,0
A009CB045DS06,A009CB045DS06UU,UU,Strain,50,35
A009CB045DS07,A009CB045DS07UU,UU,Strain,30,0.71
A009CB046DS02,A009CB046DS02UU,UU,Strain,52,84
A009CB046DS03,A009CB046DS03UU,UU,Strain,52,84
A009CB046DS04,A009CB046DS04UU,UU,Strain,52,84
A009CB047DS03,A009CB047DS03UU,UU,Strain,0,0
A009CB047DS04,A009CB047DS04UU,UU,Strain,34,1.03
A010BH001DS14,A010BH001DS14UU,UU,Strain,0,0.25
A010BH003DS09,A010BH003DS09UU,UU,Strain,0,0.27
A010BH004DS19,A010BH004DS19UU,UU,Strain,0,0.09
A010BH005DS16,A010BH005DS16UU,UU,Strain,0,0
A013CB037DS03,A013CB037DS03UU,UU,Strain,51,260
A013CB039DS04,A013CB039DS04UU,UU,Strain,51,270
A013CB040DS02,A013CB040DS02UU,UU,Strain,48,250
A013TB002DS02,A013TB002DS02UU,UU,Strain,55,210
A013TB005DS03,A013TB005DS03UU,UU,Strain,54,310
A013TB007DS02,A013TB007DS02UU,UU,Strain,52,170
A013TB009DS02,A013TB009DS02UU,UU,Strain,52,230
A013TB011DS01,A013TB011DS01UU,UU,Strain,59,170
A013TB012DS02,A013TB012DS02UU,UU,Strain,54,230
A021TB009DS01,A021TB009DS01UU,UU,Strain,46,90
A021TB010DS05,A021TB010DS05UU,UU,Strain,45,78
A021TB012DS03,A021TB012DS03UU,UU,Strain,48,105
A021TB014DS01,A021TB014DS01UU,UU,Strain,53.6,180
B0108BH002US01,B0108BH002US01UU,UU,0,0,0.197
B0127BH001DS01,B0127BH001DS01UU,UU,Strain,0,0.17
B0127BH002DS01,B0127BH002DS01UU,UU,Strain,0,0.2
B0130BH002DS01,B0130BH002DS01UU,UU,0,0,0.144
B0130BH004DS01,B0130BH004DS01UU,UU,0,0,0.188
B0130BH004US04,B0130BH004US04UU,UU,0,0,0.188
B0130BH007US01,B0130BH007US01UU,UU,0,0,0.248
B0130BH008US01,B0130BH008US01UU,UU,0,0,0.129
B0130BH010US01,B0130BH010US01UU,UU,0,0,0.092
B0200BH017DS01,B0200BH017DS01CU,CU,0,27.1,0.28
B0200BH017DS01,B0200BH017DS01UU,UU,0,0,0.62
B0204BH032DS01,B0204BH032DS01CU,CU,0,29.6,0.568
B0204BH032DS01,B0204BH032DS01UU,UU,0,0,0
B0204BH042DS01,B0204BH042DS01CU,CU,0,22.1,0.406
B0204BH042DS01,B0204BH042DS01UU,UU,0,0,0
B0204BH045DS01,B0204BH045DS01CU,CU,0,15.4,0.26
B0204BH045DS01,B0204BH045DS01UU,UU,0,0,0
B0205BH014DS01,B0205BH014DS01UU,UU,0,0,0.18
B0205BH014DS01,B0205BH014DS01CU,CU,0,19.7,0.09
B0205BH021DS01,B0205BH021DS01UU,UU,0,0,0.14
B0205BH021DS01,B0205BH021DS01CU,CU,0,0,0
B0238SB001DS01,B0238SB001DS01CU,CU,strain,0,0
B0238SB001DS01,B0238SB001DS01UU,UU,strain,16.6,0.298
B0238SB002DS01,B0238SB002DS01CU,CU,strain,20.2,0.368
B0238SB002DS01,B0238SB002DS01UU,UU,strain,0,0
B0238SB003DS01,B0238SB003DS01CU,CU,strain,0,0
B0238SB003DS01,B0238SB003DS01UU,UU,strain,17.9,0.323
