Leak#,Latitude,Longitude,Base,COF,POF,Subway,Tree,GW,Soil,Total
1,37.56472157,127.1732018,0.01098694263059318,0.54,0.72,0.0,0.0,2.7,0.0,3.9709869426305935
2,37.53325532,127.1324864,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
3,37.55555034,127.1296101,0.47502081252106,0.39,1.0,0.0,0.0,2.7,0.0,4.565020812521061
4,37.55477038,127.1505835,0.09112296101485612,0.39,0.72,0.0,0.0,2.7,0.0,3.901122961014856
5,37.54728632,127.1352284,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
6,37.55557796,127.1365042,0.002025320389049882,0.723,0.72,0.0,0.0,2.7,0.0,4.14502532038905
7,37.54169432,127.1201937,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
8,37.52668428,127.1446855,0.13010847436299783,0.39,1.0,0.0,0.0,2.7,0.0,4.220108474362998
9,37.57481404,127.1694108,0.09112296101485612,0.39,0.72,0.0,0.0,2.7,0.0,3.901122961014856
10,37.54336405,127.1455723,0.18242552380635635,0.54,1.0,0.0,0.0,2.7,0.0,4.422425523806357
11,37.52763869,127.1236653,0.05732417589886873,0.39,0.56,0.0,0.0,2.7,0.0,3.707324175898869
12,37.55341039,127.136302,0.13010847436299783,0.39,1.0,0.0,0.0,2.7,0.0,4.220108474362998
13,37.56510273,127.175816,0.01098694263059318,0.465,0.72,0.0,0.0,2.7,0.0,3.8959869426305933
14,37.54086797,127.1359452,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
15,37.55088426,127.1441044,0.05215356307841772,0.54,1.0,0.0,0.0,2.7,0.0,4.292153563078418
16,37.5543318,127.1356826,0.18242552380635635,0.465,1.0,0.0,0.0,2.7,0.0,4.347425523806357
17,37.52898587,127.1384403,0.009013298652847824,0.465,0.56,0.0,0.0,2.7,0.0,3.7340132986528483
18,37.53317406,127.1274277,0.9997965730219448,0.39,1.0,0.0,0.0,2.7,0.0,5.089796573021945
19,37.54523577,127.1274971,0.6224593312018546,0.39,1.0,0.0,0.0,2.7,0.0,4.712459331201854
20,37.53993191,127.1350696,0.998498817743263,0.54,1.0,0.0,0.0,2.7,0.0,5.238498817743263
