borehole_code,start_depth,end_depth,thickness,uscs_code,학술용지층코드,학술용지층명,단면분석용층분류코드,토질색상,지층색상별코드,단면분석용분류코드,Longitude,Latitude
B0645BB033,0,4.4,4,SM,SM,실트질 모래,SN,암갈색,21,,127.1710942,37.57660636
B0645BB033,4.4,12.2,8,SM,SM,실트질 모래,SN,갈색,1,,127.1710942,37.57660636
B0645BB033,12.2,19.3,7,GP,GP,입도나쁜자갈-모래혼합토,GV,회갈색,41,,127.1710942,37.57660636
B0645BB033,12.2,19.3,7,GP,GP,입도나쁜자갈-모래혼합토,GV,회갈색,42,,127.1710942,37.57660636
B0645BB033,19.3,20,1,SM,SM,실트질 모래,SN,갈색내지 암갈색,,,127.1710942,37.57660636
B0645BB033,20,27,7,WR,WR,풍화암,WR,황갈색내지 암갈색,,,127.1710942,37.57660636
B0645BB034,0,8.3,8,SM,SM,실트질 모래,SN,갈색내지 암갈색,,,127.1714162,37.57631011
B0645BB034,8.3,13.2,5,SM,SM,실트질 모래,SN,갈색내지 암갈색,,,127.1714162,37.57631011
B0645BB034,13.2,19.5,6,GP,GP,입도나쁜자갈-모래혼합토,GV,회갈색내지 갈색,,,127.1714162,37.57631011
B0645BB034,19.5,27,8,WR,WR,풍화암,WR,갈색내지 회갈색,,,127.1714162,37.57631011
B1393BH001,0,2,2,GP,GP,입도나쁜자갈-모래혼합토,GV,갈색,1,,127.1442157,37.5508963
B1393BH001,2,3.3,1.3,CL,CL,무기질 점토,CL,갈색,1,,127.1442157,37.5508963
B1393BH001,3.3,9,5.7,SP,SP,입도나쁜 모래,SN,갈색,1,,127.1442157,37.5508963
B1393BH001,9,13,4,ML,ML,"무기질 실트, 극세사",CL,갈색,1,,127.1442157,37.5508963
B1393BH001,13,20,7,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,회색,45,,127.1442157,37.5508963
B1393BH002,0,3.4,3.4,GP,GP,입도나쁜자갈-모래혼합토,GV,적갈색,29,,127.1439449,37.55159053
B1393BH002,3.4,7.6,4.2,SC,SC,점토질 모래,SN,갈색,1,,127.1439449,37.55159053
B1393BH002,7.6,12.5,4.9,SP,SP,입도나쁜 모래,SN,담갈색,9,,127.1439449,37.55159053
B1393BH002,12.5,20,7.5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,회갈색,41,,127.1439449,37.55159053
B1393BH002,12.5,20,7.5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,회갈색,42,,127.1439449,37.55159053
B1393BH003,0,4.2,4.2,SP,SP,입도나쁜 모래,SN,갈색,1,,127.1444553,37.5524383
B1393BH003,4.2,6.1,1.9,ML,ML,"무기질 실트, 극세사",CL,암회색,24,,127.1444553,37.5524383
B1393BH003,6.1,7,0.9,SP,SP,입도나쁜 모래,SN,갈색,1,,127.1444553,37.5524383
B1393BH003,7,8,1,SP,SP,입도나쁜 모래,SN,황갈색,36,,127.1444553,37.5524383
B1393BH003,8,11,3,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,황갈색,36,,127.1444553,37.5524383
B1393BH003,11,20,9,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,회색,45,,127.1444553,37.5524383
B1393BH004,0,2.8,2.8,SP,SP,입도나쁜 모래,SN,암갈색,21,,127.1441393,37.55328588
B1393BH004,2.8,5.3,2.5,CL,CL,무기질 점토,CL,암회색,24,,127.1441393,37.55328588
B1393BH004,5.3,7.2,1.9,SM,SM,실트질 모래,SN,암갈색,21,,127.1441393,37.55328588
B1393BH004,7.2,10,2.8,SM,SM,실트질 모래,SN,담갈색,9,,127.1441393,37.55328588
B1393BH004,10,14.7,4.7,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1441393,37.55328588
B1393BH004,14.7,21.5,6.8,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1441393,37.55328588
B1393BH005,0,3.2,3.2,ML,ML,"무기질 실트, 극세사",CL,황갈색,36,,127.1445029,37.55407016
B1393BH005,3.2,12,8.8,ML,ML,"무기질 실트, 극세사",CL,암갈색,21,,127.1445029,37.55407016
B1393BH005,12,30,18,ML,ML,"무기질 실트, 극세사",CL,암갈색,21,,127.1445029,37.55407016
B1393BH006,0,2.6,2.6,SM,SM,실트질 모래,SN,갈색,1,,127.1450354,37.55478668
B1393BH006,2.6,16.5,13.9,SM,SM,실트질 모래,SN,암갈색,21,,127.1450354,37.55478668
B1393BH006,16.5,30,13.5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1450354,37.55478668
B1393BH007,0,1,1,SM,SM,실트질 모래,SN,갈색,1,,127.1459769,37.55555066
B1393BH007,1,6,5,SM,SM,실트질 모래,SN,암갈색,21,,127.1459769,37.55555066
B1393BH007,6,8,2,SM,SM,실트질 모래,SN,갈색,1,,127.1459769,37.55555066
B1393BH007,8,15.4,7.4,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,갈색,1,,127.1459769,37.55555066
B1393BH007,15.4,16.5,1.1,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,회색,45,,127.1459769,37.55555066
B1393BH008,0,2.5,2.5,SM,SM,실트질 모래,SN,황갈색,36,,127.1463391,37.5545799
B1393BH008,2.5,5,2.5,SM,SM,실트질 모래,SN,암갈색,21,,127.1463391,37.5545799
B1393BH008,5,10,5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1463391,37.5545799
B1393BH008,10,17,7,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,담회색,17,,127.1463391,37.5545799
B1393BH008,17,20,3,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,담회색,17,,127.1463391,37.5545799
B1393BH009,0,0.5,0.5,SP,SP,입도나쁜 모래,SN,갈색,1,,127.1470982,37.55556856
B1393BH009,0.5,3,2.5,SM,SM,실트질 모래,SN,황갈색,36,,127.1470982,37.55556856
B1393BH009,3,10.8,7.8,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,갈색,1,,127.1470982,37.55556856
B1393BH009,10.8,27.8,17,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1470982,37.55556856
B1393BH009,27.8,31.5,3.7,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,갈색,1,,127.1470982,37.55556856
B1393BH009,31.5,35,3.5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,회색,45,,127.1470982,37.55556856
B1393BH010,0,0.5,0.5,SM,SM,실트질 모래,SN,암회색,24,,127.1483306,37.55456916
B1393BH010,0.5,7.5,7,SM,SM,실트질 모래,SN,적갈색-담갈색,375,,127.1483306,37.55456916
B1393BH010,7.5,12,4.5,SM,SM,실트질 모래,SN,암갈색,21,,127.1483306,37.55456916
B1393BH010,12,20,8,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1483306,37.55456916
B1393BH011,0,4,4,SP,SP,입도나쁜 모래,SN,황갈색,36,,127.1489189,37.55507966
B1393BH011,4,7.1,3.1,CL,CL,무기질 점토,CL,암회색,24,,127.1489189,37.55507966
B1393BH011,7.1,8,0.9,ML,ML,"무기질 실트, 극세사",CL,회색,45,,127.1489189,37.55507966
B1393BH011,8,25,17,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1489189,37.55507966
B1393BH012,0,1.7,1.7,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1505362,37.55472478
B1393BH012,1.7,10,8.3,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,담갈색-암갈색,287,,127.1505362,37.55472478
B1393BH012,10,16,6,ML,ML,"무기질 실트, 극세사",CL,담갈색-암갈색,287,,127.1505362,37.55472478
B1393BH012,16,20.5,4.5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,녹갈색,54,,127.1505362,37.55472478
B1393BH013,0,3.8,3.8,SC,SC,점토질 모래,SN,황갈색,36,,127.1510799,37.55480535
B1393BH013,3.8,10.5,6.7,SM,SM,실트질 모래,SN,갈색,1,,127.1510799,37.55480535
B1393BH013,10.5,13.5,3,ML,ML,"무기질 실트, 극세사",CL,갈색,1,,127.1510799,37.55480535
B1393BH013,13.5,25,11.5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,갈색,1,,127.1510799,37.55480535
B1393BH014,0,1.3,1.3,SM,SM,실트질 모래,SN,갈색,1,,127.1520422,37.55487646
B1393BH014,1.3,7,5.7,SM,SM,실트질 모래,SN,갈색,1,,127.1520422,37.55487646
B1393BH014,7,18,11,SM,SM,실트질 모래,SN,갈색,1,,127.1520422,37.55487646
B1393BH014,18,20,2,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,갈색,1,,127.1520422,37.55487646
B1393BH015,0,1.8,1.8,SP,SP,입도나쁜 모래,SN,적회색,60,,127.1529126,37.55473134
B1393BH015,1.8,4.6,2.8,CL,CL,무기질 점토,CL,적갈색,29,,127.1529126,37.55473134
B1393BH015,4.6,19.5,14.9,SM,SM,실트질 모래,SN,담갈색,9,,127.1529126,37.55473134
B1393BH015,19.5,21,1.5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,담갈색,9,,127.1529126,37.55473134
B1393BH016,0,1.4,1.4,SM,SM,실트질 모래,SN,갈색,1,,127.1538973,37.55509991
B1393BH016,1.4,7.5,6.1,CL,CL,무기질 점토,CL,갈색,1,,127.1538973,37.55509991
B1393BH016,7.5,14,6.5,SM,SM,실트질 모래,SN,담갈색,9,,127.1538973,37.55509991
B1393BH016,14,20,6,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,백회색,20,,127.1538973,37.55509991
B1393BH017,0,1.8,1.8,SM,SM,실트질 모래,SN,암갈색,21,,127.1552785,37.55523399
B1393BH017,1.8,10.5,8.7,CL,CL,무기질 점토,CL,암갈색,21,,127.1552785,37.55523399
B1393BH017,10.5,13,2.5,SM,SM,실트질 모래,SN,암갈색,21,,127.1552785,37.55523399
B1393BH017,13,20,7,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1552785,37.55523399
B1393BH017,20,24,4,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1552785,37.55523399
B1393BH018,0,1.5,1.5,GM,GM,실트질 자갈,GV,갈색,1,,127.1563767,37.55547564
B1393BH018,1.5,6,4.5,CL,CL,무기질 점토,CL,갈색,1,,127.1563767,37.55547564
B1393BH018,6,11,5,SM,SM,실트질 모래,SN,갈색,1,,127.1563767,37.55547564
B1393BH018,11,20,9,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,갈색,1,,127.1563767,37.55547564
B1393BH019,0,1.3,1.3,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1577233,37.5555636
B1393BH019,1.3,2.8,1.5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1577233,37.5555636
B1393BH019,2.8,6,3.2,SM,SM,실트질 모래,SN,갈색,1,,127.1577233,37.5555636
B1393BH019,6,12,6,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1577233,37.5555636
B1393BH019,12,20,8,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,담갈색,9,,127.1577233,37.5555636
B1393BH020,0,2.8,2.8,SM,SM,실트질 모래,SN,갈색,1,,127.159161,37.55582254
B1393BH020,2.8,7.2,4.4,ML,ML,"무기질 실트, 극세사",CL,황갈색,36,,127.159161,37.55582254
B1393BH020,7.2,9,1.8,SM,SM,실트질 모래,SN,갈색,1,,127.159161,37.55582254
B1393BH020,9,20,11,SM,SM,실트질 모래,SN,갈색,1,,127.159161,37.55582254
B1393BH021,0,4.7,4.7,SP,SP,입도나쁜 모래,SN,적갈색,29,,127.1603494,37.55577554
B1393BH021,4.7,12.5,7.8,SM,SM,실트질 모래,SN,황갈색,36,,127.1603494,37.55577554
B1393BH021,12.5,19,6.5,SM,SM,실트질 모래,SN,황갈색,36,,127.1603494,37.55577554
B1393BH021,19,26,7,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1603494,37.55577554
B1393BH022,0,2.7,2.7,SP,SP,입도나쁜 모래,SN,갈색,1,,127.1614483,37.55612505
B1393BH022,2.7,10,7.3,SM,SM,실트질 모래,SN,갈색,1,,127.1614483,37.55612505
B1393BH022,10,16,6,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1614483,37.55612505
B1393BH022,16,20,4,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1614483,37.55612505
B1393BH023,0,0.5,0.5,SM,SM,실트질 모래,SN,암색,1259,,127.162875,37.55631262
B1393BH023,0.5,7.5,7,SM,SM,실트질 모래,SN,암갈색,21,,127.162875,37.55631262
B1393BH023,7.5,12,4.5,SM,SM,실트질 모래,SN,암갈색,21,,127.162875,37.55631262
B1393BH023,12,17,5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.162875,37.55631262
B1393BH023,17,22.5,5.5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,담갈색,9,,127.162875,37.55631262
B1393BH024,0,0.5,0.5,SP,SP,입도나쁜 모래,SN,암갈색,21,,127.1641088,37.55613007
B1393BH024,0.5,5,4.5,SM,SM,실트질 모래,SN,갈색,1,,127.1641088,37.55613007
B1393BH024,5,7.5,2.5,SM,SM,실트질 모래,SN,갈색,1,,127.1641088,37.55613007
B1393BH024,7.5,20,12.5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,담갈색,9,,127.1641088,37.55613007
B1393BH025,0,1.3,1.3,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1651511,37.55644388
B1393BH025,1.3,3.5,2.2,CL,CL,무기질 점토,CL,암갈색,21,,127.1651511,37.55644388
B1393BH025,3.5,4.8,1.3,SP,SP,입도나쁜 모래,SN,암갈색,21,,127.1651511,37.55644388
B1393BH025,4.8,5.5,0.7,SM,SM,실트질 모래,SN,갈색,1,,127.1651511,37.55644388
B1393BH025,5.5,10.5,5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,담갈색,9,,127.1651511,37.55644388
B1393BH025,10.5,20,9.5,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1651511,37.55644388
B1393BH026,0,1.7,1.7,SP,SP,입도나쁜 모래,SN,암갈색,21,,127.1664983,37.5565679
B1393BH026,1.7,4.2,2.5,CL,CL,무기질 점토,CL,암갈색,21,,127.1664983,37.5565679
B1393BH026,4.2,5,0.8,GM,GM,실트질 자갈,GV,황갈색,36,,127.1664983,37.5565679
B1393BH026,5,7,2,SM,SM,실트질 모래,SN,갈색,1,,127.1664983,37.5565679
B1393BH026,7,20,13,SM,SM,실트질 모래,SN,갈색,1,,127.1664983,37.5565679
B1393BH027,0,3.8,3.8,SM,SM,실트질 모래,SN,적갈색,29,,127.1675632,37.55691782
B1393BH027,3.8,4.8,1,CL,CL,무기질 점토,CL,암갈색,21,,127.1675632,37.55691782
B1393BH027,4.8,11,6.2,SM,SM,실트질 모래,SN,암갈색,21,,127.1675632,37.55691782
B1393BH027,11,22.6,11.6,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,암갈색,21,,127.1675632,37.55691782
B1393BH027,22.6,26,3.4,ET,ET,"기타 : 호박돌, 콘크리트 등",ET,담갈색,9,,127.1675632,37.55691782
B1393BH028,0,4.2,4.2,ML,ML,"무기질 실트, 극세사",CL,황갈색,36,,127.1684572,37.55681728
B1393BH028,4.2,7,2.8,CL,CL,무기질 점토,CL,암갈색,21,,127.1684572,37.55681728
B1393BH028,7,10,3,SM,SM,실트질 모래,SN,암갈색,21,,127.1684572,37.55681728
B1393BH028,10,20,10,SM,SM,실트질 모래,SN,갈색,1,,127.1684572,37.55681728
B1393BH029,0,3.7,3.7,SM,SM,실트질 모래,SN,암갈색,21,,127.1700575,37.55719354
