Longitude,Latitude,SWST_NM,SWST_NO,ADM_DR_CD,ADM_DR_NM,SIGUNGU_CD,SIGUNGU_NM,hoseon
127.17593,37.55749,강일,9995,1125051,강일동,11250,강동구,5호선
127.10161,37.48637,수서,9007,1123075,수서동,11230,강남구,3호선
127.06324,37.50887,삼성,9006,1123079,대치2동,11230,강남구,2호선
126.97296,37.55569,서울,9005,1102054,회현동,11020,중구,인천국제공항선
126.9213,37.61878,연신내,9004,1112058,대조동,11120,은평구,3호선
126.801868,37.56236,김포공항,4929,1116071,방화2동,11160,강서구,인천국제공항선
127.023242,37.576095,신설동,4713,1106081,용신동,11010,종로구,우이신설선
127.019381,37.585286,보문,4712,1108061,보문동,11010,종로구,우이신설선
127.016516,37.592467,성신여대입구(돈암),4711,1108082,삼선동,11010,종로구,4호선
127.013396,37.603133,정릉,4710,1108062,정릉1동,11080,성북구,우이신설선
127.008251,37.612072,북한산보국문,4709,1108065,정릉4동,11010,종로구,우이신설선
127.013626,37.620238,솔샘,4708,1109069,삼양동,11080,성북구,우이신설선
127.020473,37.621337,삼양사거리,4707,1109069,삼양동,11080,성북구,우이신설선
127.018106,37.626914,삼양,4706,1109069,삼양동,11080,성북구,우이신설선
127.017511,37.634133,화계,4705,1109063,수유1동,11080,성북구,우이신설선
127.016789,37.641537,가오리,4704,1109064,수유2동,11090,강북구,우이신설선
127.013684,37.649502,4.19민주묘지,4703,1109074,우이동,11090,강북구,우이신설선
127.013273,37.65603,솔밭공원,4702,1109074,우이동,11090,강북구,우이신설선
127.012706,37.662909,북한산우이,4701,1109074,우이동,11090,강북구,우이신설선
126.9450639,37.4691018,관악산(서울대),4411,1121073,대학동,11210,관악구,수도권 경량도시철도 신림선
126.9339351,37.4720019,서울대벤처타운,4410,1121066,서림동,11210,관악구,수도권 경량도시철도 신림선
126.9330365,37.4782341,서원,4409,1121064,서원동,11210,관악구,수도권 경량도시철도 신림선
126.9296159,37.4849266,신림,4408,1121069,신림동,11200,동작구,수도권 경량도시철도 신림선
126.9275133,37.4902998,당곡,4407,1121052,보라매동,11200,동작구,수도권 경량도시철도 신림선
126.9234964,37.4929598,보라매병원,4406,1120070,신대방2동,11190,영등포구,수도권 경량도시철도 신림선
126.9180827,37.4955691,보라매공원,4405,1120070,신대방2동,11190,영등포구,수도권 경량도시철도 신림선
126.9204355,37.5002739,보라매,4404,1119068,신길6동,11190,영등포구,수도권 경량도시철도 신림선
126.9227083,37.5060464,서울지방병무청,4403,1119069,신길7동,11190,영등포구,수도권 경량도시철도 신림선
126.9257265,37.5133059,대방,4402,1119069,신길7동,11190,영등포구,수도권 경량도시철도 신림선
126.929399,37.5170969,샛강,4401,1119054,여의동,11030,용산구,수도권 경량도시철도 신림선
127.055664,37.447211,청계산입구,4310,1122068,내곡동,11220,서초구,신분당선
127.03842,37.470023,양재시민의숲(매헌),4309,1122067,양재2동,11220,서초구,신분당선
127.034653,37.483809,양재(서초구청),4308,1122066,양재1동,11220,서초구,신분당선
127.028104,37.496837,강남,4307,1122052,서초2동,11220,서초구,신분당선
127.02506,37.504598,신논현,4306,1123064,역삼1동,11220,서초구,신분당선
127.021415,37.511093,논현,4305,1123052,논현1동,11220,서초구,신분당선
127.020114,37.516334,신사,4304,1123052,논현1동,11220,서초구,신분당선
126.801904,37.561842,김포공항,4207,1116071,방화2동,11160,강서구,인천국제공항선
126.827378,37.565543,마곡나루,4206,1116070,방화1동,11160,강서구,인천국제공항선
126.898609,37.576958,디지털미디어시티,4204,1114074,상암동,11120,은평구,인천국제공항선
126.926715,37.557438,홍대입구,4203,1114066,서교동,11130,서대문구,인천국제공항선
126.952024,37.54253,공덕,4202,1114075,도화동,11030,용산구,인천국제공항선
126.969769,37.553247,서울역,4201,1103053,남영동,11020,중구,인천국제공항선
127.148739,37.529191,중앙보훈병원,4138,1125071,둔촌2동,11250,강동구,수도권 도시철도 9호선
127.137989,37.519683,둔촌오륜,4137,1125070,둔촌1동,11240,송파구,수도권 도시철도 9호선
127.130288,37.516269,올림픽공원(한국체대),4136,1124059,오륜동,11240,송파구,수도권 도시철도 9호선
127.116503,37.516404,한성백제,4135,1124059,오륜동,11240,송파구,수도권 도시철도 9호선
127.112216,37.510372,송파나루,4134,1124058,방이2동,11240,송파구,수도권 도시철도 9호선
127.10704,37.505208,석촌,4133,1124063,석촌동,11240,송파구,수도권 도시철도 9호선
127.097033,37.502558,석촌고분,4132,1124063,석촌동,11240,송파구,수도권 도시철도 9호선
127.088025,37.504738,삼전,4131,1124071,잠실본동,11230,강남구,수도권 도시철도 9호선
127.076275,37.511426,종합운동장,4130,1124078,잠실7동,11230,강남구,수도권 도시철도 9호선
127.060245,37.514219,봉은사,4129,1123058,삼성1동,11050,광진구,수도권 도시철도 9호선
127.053282,37.513011,삼성중앙,4128,1123059,삼성2동,11230,강남구,수도권 도시철도 9호선
127.043999,37.510297,선정릉,4127,1123059,삼성2동,11230,강남구,수도권 도시철도 9호선
127.033868,37.507287,언주,4126,1123064,역삼1동,11220,서초구,수도권 도시철도 9호선
127.02506,37.504598,신논현,4125,1123064,역삼1동,11220,서초구,수도권 도시철도 9호선
127.015259,37.504206,사평,4124,1122057,반포1동,11220,서초구,수도권 도시철도 9호선
127.004403,37.50598,고속터미널,4123,1122060,반포4동,11220,서초구,수도권 도시철도 9호선
126.995925,37.503415,신반포,4122,1122058,반포2동,11030,용산구,수도권 도시철도 9호선
126.987332,37.501364,구반포,4121,1122056,반포본동,11030,용산구,수도권 도시철도 9호선
126.978153,37.502878,동작(현충원),4120,1120073,사당2동,11030,용산구,수도권 도시철도 9호선
126.963708,37.50877,흑석(중앙대입구),4119,1120071,흑석동,11030,용산구,수도권 도시철도 9호선
126.953222,37.512887,노들,4118,1120072,노량진1동,11030,용산구,수도권 도시철도 9호선
126.941005,37.513534,노량진,4117,1120072,노량진1동,11030,용산구,수도권 도시철도 9호선
126.928422,37.517274,샛강,4116,1119054,여의동,11030,용산구,수도권 도시철도 9호선
126.92403,37.52176,여의도,4115,1119054,여의동,11030,용산구,수도권 도시철도 9호선
126.917874,37.528105,국회의사당,4114,1119054,여의동,11030,용산구,수도권 도시철도 9호선
126.902809,37.533406,당산,4113,1119056,당산2동,11140,마포구,수도권 도시철도 9호선
126.893525,37.53802,선유도,4112,1119062,양평2동,11140,마포구,수도권 도시철도 9호선
126.88308,37.544277,신목동,4111,1115052,목2동,11150,양천구,수도권 도시철도 9호선
126.874916,37.546936,염창,4110,1115052,목2동,11150,양천구,수도권 도시철도 9호선
126.865689,37.550632,등촌,4109,1115053,목3동,11150,양천구,수도권 도시철도 9호선
126.861939,37.557402,증미,4108,1116052,등촌1동,11150,양천구,수도권 도시철도 9호선
126.854456,37.561391,가양,4107,1116054,등촌3동,11160,강서구,수도권 도시철도 9호선
126.841333,37.568381,양천향교,4106,1116064,가양1동,11160,강서구,수도권 도시철도 9호선
126.82731,37.566778,마곡나루,4105,1116064,가양1동,11160,강서구,수도권 도시철도 9호선
126.816601,37.567532,신방화,4104,1116070,방화1동,11160,강서구,수도권 도시철도 9호선
126.810678,37.563726,공항시장,4103,1116069,공항동,11160,강서구,수도권 도시철도 9호선
126.802152,37.561916,김포공항,4102,1116071,방화2동,11160,강서구,수도권 도시철도 9호선
126.798153,37.578608,개화,4101,1116071,방화2동,11160,강서구,수도권 도시철도 9호선
127.126732,37.471052,복정,2821,1124069,문정2동,11230,강남구,8호선
127.126191,37.478703,장지,2820,1124081,장지동,11240,송파구,8호선
127.1225,37.485855,문정,2819,1124069,문정2동,11230,강남구,8호선
127.118398,37.492888,가락시장,2818,1124066,가락1동,11230,강남구,3호선
127.112183,37.499703,송파,2817,1124066,가락1동,11230,강남구,8호선
127.106832,37.505557,석촌,2816,1124063,석촌동,11240,송파구,8호선
127.104338,37.514692,잠실(송파구청),2815,1124077,잠실6동,11050,광진구,2호선
127.112359,37.517409,몽촌토성(평화의문),2814,1124075,잠실4동,11240,송파구,8호선
127.120508,37.530341,강동구청,2813,1125065,성내1동,11240,송파구,8호선
